file_name,class,split,cultivar,capture_date,capture_time,bytes,sha256
IMG_20250410_090317_blanes.jpg,FN,train,blanes,2025-04-10,09:03:17,162664,3f069a9bdd771bf70731e84cf5a44c89dc10575dc577a3b999d659429c4aaebf
IMG_20250410_090533_blanes.jpg,FN,train,blanes,2025-04-10,09:05:33,133673,d4481e7b31c3f573fc6ea8080433d5e65c90c0473a3f0207cd8d639c148349df
IMG_20250410_090851_grazion.jpg,FN,train,grazion,2025-04-10,09:08:51,125921,c8c2566ec82271b0d85eb9cd0ddad9ae8b6f29017b983194e1a93abfb78ed757
IMG_20250410_091906_grazion.jpg,FN,train,grazion,2025-04-10,09:19:06,127439,308a31821733327fecbf266fdd6aaf7e2c61bd59a9fe0b9406ae8ff49272f507
IMG_20250410_091951_blanes.jpg,FN,train,blanes,2025-04-10,09:19:51,162612,10d2bb0bce10e2c32e5ec8802f489f1d9c63f85bf3e746e1e3864b638ae01eb7
IMG_20250410_094113_toscana.jpg,FN,train,toscana,2025-04-10,09:41:13,161712,ef440ecb2f6737ea4f345779f3ca34d06c7bfb2f11c6ddec7a93300fca23bb29
IMG_20250410_094744_patrona.jpg,FN,train,patrona,2025-04-10,09:47:44,141373,ea7dab07e00cd6bd51b88b11e6970d6e85bddf5c8c4b04d23a1394b59c4a7884
IMG_20250410_101104_blanes.jpg,FN,train,blanes,2025-04-10,10:11:04,166337,31c1f62d5d3dfc6c4afe514d8215c560143de4a3806cfeb950f1630360498cc2
IMG_20250410_101717_grazion.jpg,FN,train,grazion,2025-04-10,10:17:17,129219,b63715c4044911a8742b88e61f8f4a369d910f5303881885438aa569d6ee73b4
IMG_20250410_103901_grazion.jpg,FN,train,grazion,2025-04-10,10:39:01,126825,526a8583476d3cf94eac95725f9cd9eaa8b2e15de3398947b78c6a798bdc9770
IMG_20250410_104102_blanes.jpg,FN,train,blanes,2025-04-10,10:41:02,179981,b2c268d032cab830b8737ad115c7f22eb29ccfe5207beacea4957ab394efff1f
IMG_20250410_104134_grazion.jpg,FN,train,grazion,2025-04-10,10:41:34,120702,dd4094b9c80dd34ec45def89fcbb847dce429ab7826c46471a2d18b6889dd594
IMG_20250410_105547_toscana.jpg,FN,train,toscana,2025-04-10,10:55:47,147437,72e7252d6240e5784297a07430ca0a3e27f7953769cd8c8864ef768e8443be31
IMG_20250410_105548_patrona.jpg,FN,train,patrona,2025-04-10,10:55:48,131622,c96b6664440e0d8d862bf8fdc643a4ad4db19e70741aed6589e1a84be43cb7ca
IMG_20250410_105910_grazion.jpg,FN,train,grazion,2025-04-10,10:59:10,132177,74e3e19a7b97121c863913530f4e202de8a5a7dce576b607f2a1160660484894
IMG_20250410_105918_blanes.jpg,FN,train,blanes,2025-04-10,10:59:18,175011,f76691ba0d824c095cac9b2ce646b1bef58ef07140dabfbf4a76aa50ebb81dc3
IMG_20250410_111220_patrona.jpg,FN,train,patrona,2025-04-10,11:12:20,145287,a3e60ac166afc27c5143be498cd4eea22174d9ddc1ce8f807fb5d1b0b73defde
IMG_20250410_111245_blanes.jpg,FN,train,blanes,2025-04-10,11:12:45,166499,6fe9cacb0c51fbf31387c3bd3afae2e86c215e1d5d45ca1433e2e2e423e67d5a
